Date,Price,Open,High,Low,Change %
2006-05-05,2017.34,2017.34,2017.34,2017.34,1.03
2006-05-08,2015.84,2015.84,2015.84,2015.84,-0.07
2006-05-09,2016.59,2016.59,2016.59,2016.59,0.04
2006-05-10,2013.99,2013.99,2013.99,2013.99,-0.13
2006-05-11,1988.56,1988.56,1988.56,1988.56,-1.26
2006-05-12,1966.27,1966.27,1966.27,1966.27,-1.12
2006-05-15,1971.45,1971.45,1971.45,1971.45,0.26
2006-05-16,1967.79,1967.79,1967.79,1967.79,-0.19
2006-05-17,1935.18,1935.18,1935.18,1935.18,-1.66
2006-05-18,1922.32,1922.32,1922.32,1922.32,-0.66
2006-05-19,1930.27,1930.27,1930.27,1930.27,0.41
2006-05-22,1922.72,1922.72,1922.72,1922.72,-0.39
2006-05-23,1914.38,1914.38,1914.38,1914.38,-0.43
2006-05-24,1917.48,1917.48,1917.48,1917.48,0.16
2006-05-25,1939.52,1939.52,1939.52,1939.52,1.15
2006-05-26,1950.87,1950.87,1950.87,1950.87,0.59
2006-05-30,1920.09,1920.09,1920.09,1920.09,-1.58
2006-05-31,1936.41,1936.41,1936.41,1936.41,0.85
2006-06-01,1960.28,1960.28,1960.28,1960.28,1.23
2006-06-02,1964.11,1964.11,1964.11,1964.11,0.19
2006-06-05,1929.23,1929.23,1929.23,1929.23,-1.78
2006-06-06,1927.13,1927.13,1927.13,1927.13,-0.11
2006-06-07,1915.77,1915.77,1915.77,1915.77,-0.59
2006-06-08,1918.59,1918.59,1918.59,1918.59,0.15
2006-06-09,1910.01,1910.01,1910.01,1910.01,-0.45
2006-06-12,1885.81,1885.81,1885.81,1885.81,-1.27
2006-06-13,1866.92,1866.92,1866.92,1866.92,-1
2006-06-14,1876.67,1876.67,1876.67,1876.67,0.52
2006-06-15,1916.56,1916.56,1916.56,1916.56,2.13
2006-06-16,1909.52,1909.52,1909.52,1909.52,-0.37
2006-06-19,1892.12,1892.12,1892.12,1892.12,-0.91
2006-06-20,1892.13,1892.13,1892.13,1892.13,0
2006-06-21,1910.62,1910.62,1910.62,1910.62,0.98
2006-06-22,1900.98,1900.98,1900.98,1900.98,-0.5
2006-06-23,1899.32,1899.32,1899.32,1899.32,-0.09
2006-06-26,1908.56,1908.56,1908.56,1908.56,0.49
2006-06-27,1891.24,1891.24,1891.24,1891.24,-0.91
2006-06-28,1901.98,1901.98,1901.98,1901.98,0.57
2006-06-29,1943.08,1943.08,1943.08,1943.08,2.16
2006-06-30,1939.03,1939.03,1939.03,1939.03,-0.21
2006-07-03,1954.49,1954.49,1954.49,1954.49,0.8
2006-07-05,1940.55,1940.55,1940.55,1940.55,-0.71
2006-07-06,1945.9,1945.9,1945.9,1945.9,0.28
2006-07-07,1932.75,1932.75,1932.75,1932.75,-0.68
2006-07-10,1935.61,1935.61,1935.61,1935.61,0.15
2006-07-11,1943.66,1943.66,1943.66,1943.66,0.42
2006-07-12,1922.62,1922.62,1922.62,1922.62,-1.08
2006-07-13,1897.73,1897.73,1897.73,1897.73,-1.29
2006-07-14,1888.43,1888.43,1888.43,1888.43,-0.49
2006-07-17,1885.82,1885.82,1885.82,1885.82,-0.14
2006-07-18,1889.48,1889.48,1889.48,1889.48,0.19
2006-07-19,1924.74,1924.74,1924.74,1924.74,1.87
2006-07-20,1908.42,1908.42,1908.42,1908.42,-0.85
2006-07-21,1894.94,1894.94,1894.94,1894.94,-0.71
2006-07-24,1926.5,1926.5,1926.5,1926.5,1.67
2006-07-25,1938.68,1938.68,1938.68,1938.68,0.63
2006-07-26,1937.96,1937.96,1937.96,1937.96,-0.04
2006-07-27,1930.32,1930.32,1930.32,1930.32,-0.39
2006-07-28,1953.86,1953.86,1953.86,1953.86,1.22
2006-07-31,1950.99,1950.99,1950.99,1950.99,-0.15
2006-08-01,1942.22,1942.22,1942.22,1942.22,-0.45
2006-08-02,1954.18,1954.18,1954.18,1954.18,0.62
2006-08-03,1957.41,1957.41,1957.41,1957.41,0.17
2006-08-04,1956.05,1956.05,1956.05,1956.05,-0.07
2006-08-07,1950.63,1950.63,1950.63,1950.63,-0.28
2006-08-08,1944.22,1944.22,1944.22,1944.22,-0.33
2006-08-09,1936.3,1936.3,1936.3,1936.3,-0.41
2006-08-10,1945.61,1945.61,1945.61,1945.61,0.48
2006-08-11,1938.13,1938.13,1938.13,1938.13,-0.38
2006-08-14,1940.5,1940.5,1940.5,1940.5,0.12
2006-08-15,1967.26,1967.26,1967.26,1967.26,1.38
2006-08-16,1982.81,1982.81,1982.81,1982.81,0.79
2006-08-17,1986.04,1986.04,1986.04,1986.04,0.16
2006-08-18,1993.43,1993.43,1993.43,1993.43,0.37
2006-08-21,1986.11,1986.11,1986.11,1986.11,-0.37
2006-08-22,1988.1,1988.1,1988.1,1988.1,0.1
2006-08-23,1979.35,1979.35,1979.35,1979.35,-0.44
2006-08-24,1984.09,1984.09,1984.09,1984.09,0.24
2006-08-25,1982.81,1982.81,1982.81,1982.81,-0.06
2006-08-28,1993.06,1993.06,1993.06,1993.06,0.52
2006-08-29,1997.2,1997.2,1997.2,1997.2,0.21
2006-08-30,1998.08,1998.08,1998.08,1998.08,0.04
2006-08-31,1997.42,1997.42,1997.42,1997.42,-0.03
2006-09-01,2008.47,2008.47,2008.47,2008.47,0.55
2006-09-05,2012,2012,2012,2012,0.18
2006-09-06,1992.42,1992.42,1992.42,1992.42,-0.97
2006-09-07,1982.93,1982.93,1982.93,1982.93,-0.48
2006-09-08,1990.44,1990.44,1990.44,1990.44,0.38
2006-09-11,1991.49,1991.49,1991.49,1991.49,0.05
2006-09-12,2012.32,2012.32,2012.32,2012.32,1.05
2006-09-13,2020.49,2020.49,2020.49,2020.49,0.41
2006-09-14,2017.86,2017.86,2017.86,2017.86,-0.13
2006-09-15,2023.35,2023.35,2023.35,2023.35,0.27
2006-09-18,2025.39,2025.39,2025.39,2025.39,0.1
2006-09-19,2021,2021,2021,2021,-0.22
2006-09-20,2031.59,2031.59,2031.59,2031.59,0.52
2006-09-21,2021.08,2021.08,2021.08,2021.08,-0.52
2006-09-22,2016.09,2016.09,2016.09,2016.09,-0.25
2006-09-25,2033.87,2033.87,2033.87,2033.87,0.88
2006-09-26,2049.2,2049.2,2049.2,2049.2,0.75
2006-09-27,2049.97,2049.97,2049.97,2049.97,0.04
2006-09-28,2053.93,2053.93,2053.93,2053.93,0.19
2006-09-29,2048.89,2048.89,2048.89,2048.89,-0.25
2006-10-02,2041.99,2041.99,2041.99,2041.99,-0.34
2006-10-03,2046.28,2046.28,2046.28,2046.28,0.21
2006-10-04,2071.45,2071.45,2071.45,2071.45,1.23
2006-10-05,2076.63,2076.63,2076.63,2076.63,0.25
2006-10-06,2071.05,2071.05,2071.05,2071.05,-0.27
2006-10-09,2072.71,2072.71,2072.71,2072.71,0.08
2006-10-10,2077.01,2077.01,2077.01,2077.01,0.21
2006-10-11,2071.9,2071.9,2071.9,2071.9,-0.25
2006-10-12,2091.69,2091.69,2091.69,2091.69,0.95
2006-10-13,2095.97,2095.97,2095.97,2095.97,0.2
2006-10-16,2101.26,2101.26,2101.26,2101.26,0.25
2006-10-17,2093.58,2093.58,2093.58,2093.58,-0.37
2006-10-18,2096.71,2096.71,2096.71,2096.71,0.15
2006-10-19,2098.32,2098.32,2098.32,2098.32,0.08
2006-10-20,2100.86,2100.86,2100.86,2100.86,0.12
2006-10-23,2113.82,2113.82,2113.82,2113.82,0.62
2006-10-24,2114.36,2114.36,2114.36,2114.36,0.03
2006-10-25,2121.83,2121.83,2121.83,2121.83,0.35
2006-10-26,2132.39,2132.39,2132.39,2132.39,0.5
2006-10-27,2114.65,2114.65,2114.65,2114.65,-0.83
